alpha,loss
0.0,0.09244363123118107
0.02,0.0928537095093808
0.04,0.09341221736924074
0.06,0.09380849277541475
0.08,0.09512944970350264
0.1,0.09711060630434942
0.12,0.09908572507442152
0.14,0.10200978630638771
0.16,0.10578431464179254
0.18,0.11062104988663961
0.2,0.11636709947019647
0.22,0.12248429495272192
0.24,0.12917592575952988
0.26,0.1365155406493298
0.28,0.14404524084536194
0.3,0.15157206506223347
0.32,0.15931252902882378
0.34,0.16808756976559672
0.36,0.17651760468026542
0.38,0.1843068816472693
0.4,0.1921110424194282
0.42,0.19920164916891014
0.44,0.205673950313138
0.46,0.2129791345976538
0.48,0.22227855459413434
0.5,0.23270087647673274
0.52,0.24497411983233752
0.54,0.25887199480917594
0.56,0.2736408180312798
0.58,0.29176423061320494
0.6,0.3103460639715291
0.62,0.3281303667673464
0.64,0.3424260868036616
0.66,0.350790202040417
0.68,0.3503808255194623
0.7000000000000001,0.34048933612609394
0.72,0.3224870083945526
0.74,0.3014559621301018
0.76,0.2747413234138945
0.78,0.246597696471862
0.8,0.22030122660220108
0.8200000000000001,0.19480403574480398
0.84,0.1703001455089082
0.86,0.14606582411921135
0.88,0.1270896028638338
0.9,0.11476748393046667
0.92,0.10976713425845569
0.9400000000000001,0.11125173927611873
0.96,0.11613381905556078
0.98,0.12118506763552318
1.0,0.1267785865088164
