setting,train_loss,test_loss,train_accuracy,test_accuracy,final_gradient_norm,epochs
lr=0.0001,0.4484947849323434,0.48168727789046606,0.8414814814814815,0.7777777777777778,0.46293370707463954,300
lr=0.001,0.31368884129732433,0.36853227064068794,0.8755555555555555,0.7911111111111111,0.15880813260777737,300
lr=0.01,0.20910456332012026,0.2678755769839393,0.9081481481481481,0.8622222222222222,0.20507908850062115,300
lr=0.1,0.06952362768987914,0.12386245774769596,0.9688888888888889,0.9511111111111111,0.230781901303564,300
lr=1,0.06053314278592183,0.133780574486345,0.9762962962962963,0.96,0.1965101539384464,300
