setting,train_loss,test_loss,train_accuracy,test_accuracy,final_gradient_norm,epochs
small_random,4.662135670564661e-05,8.758510917857115e-05,1.0,1.0,0.0019165915630425803,350
xavier,3.0308183584072803e-07,6.593200403690273e-07,1.0,1.0,1.3639804048112998e-05,350
he,4.50300474968059e-07,1.001703190639712e-06,1.0,1.0,1.2858449170801268e-05,350
