epoch,train_loss,test_loss,train_accuracy,test_accuracy,gradient_norm,parameter_norm
1,0.3014152900851934,0.3085599772811943,0.9144800777453839,0.9125364431486881,0.5704346541302852,7.70500998580613
10,0.0029859465055781134,0.005055724711796997,1.0,0.9970845481049563,0.026119335513235864,9.61018657545666
20,0.00047230802836107836,0.0012600639558854685,1.0,1.0,0.00029935810048104954,10.26494823885907
30,0.0002110368288529704,0.0006884661560053004,1.0,1.0,0.007047073905264487,10.542863005426248
40,0.00012045819726266001,0.0004463875854168229,1.0,1.0,3.923936195968195e-05,10.72817319796622
50,7.196360809261976e-05,0.00030930330418665344,1.0,1.0,0.00014945301356894075,10.864954276185463
60,4.8382946357471254e-05,0.0002577763723732038,1.0,1.0,0.006460472039560633,10.97791689993699
70,3.443477755690149e-05,0.00016872510691532565,1.0,1.0,0.0005478867715963598,11.07409392857422
80,2.6004519020104896e-05,0.00013080094519596935,1.0,1.0,1.9275885956539632e-05,11.157087236685866
90,2.109768229596527e-05,8.874740851387448e-05,1.0,1.0,1.579295248177847e-07,11.235049224142251
100,1.549978374778882e-05,7.835464603240952e-05,1.0,1.0,0.00026903364741435787,11.302491025055929
110,1.2500886304189509e-05,5.004693811601237e-05,1.0,1.0,2.9472759457185323e-05,11.364508549951251
120,1.02947656180029e-05,4.4956541611351154e-05,1.0,1.0,5.9506911310829116e-05,11.416255542249468
130,8.56139336270471e-06,4.078845580797245e-05,1.0,1.0,9.113563397095819e-07,11.469164087452755
140,7.375605701408773e-06,2.9472840083032295e-05,1.0,1.0,7.894018720366366e-05,11.522480699523271
150,6.004306372179812e-06,2.8138212847275785e-05,1.0,1.0,0.00010659912919598482,11.56606757193549
160,5.138418429791637e-06,2.161884191157902e-05,1.0,1.0,1.2359123598529256e-08,11.608030462451579
170,4.418986019288713e-06,1.888571629275369e-05,1.0,1.0,1.7762877355407052e-05,11.64850228345832
180,3.8323629093317235e-06,1.7470694649159738e-05,1.0,1.0,5.568671184852122e-08,11.6866403899766
190,3.3266400412892024e-06,1.3360554377892338e-05,1.0,1.0,1.1450846072372536e-05,11.728137294322067
200,2.8687088269741334e-06,1.1761808882342952e-05,1.0,1.0,1.1891836837347556e-07,11.766065486383015
210,2.498363162845642e-06,1.0240916111160082e-05,1.0,1.0,5.743478148782423e-06,11.80121815146726
220,2.205719569584755e-06,9.075704450326916e-06,1.0,1.0,7.606123302279731e-06,11.833622168641398
230,1.957443903722117e-06,7.907273370027223e-06,1.0,1.0,7.65460375846444e-06,11.865172730401115
240,1.7379086430034873e-06,7.063103955111715e-06,1.0,1.0,1.1406252589725708e-07,11.896360477711537
250,1.5386720950868078e-06,5.715807007866766e-06,1.0,1.0,2.3155240702609996e-06,11.929667102912646
260,1.368667806320281e-06,5.249114937100185e-06,1.0,1.0,1.3355133923703016e-09,11.959073488657598
270,1.213387181452059e-06,4.3629930488692106e-06,1.0,1.0,7.447084838612486e-08,11.99166005379503
280,1.0738692114999707e-06,4.04382857551257e-06,1.0,1.0,1.8464769189594092e-06,12.02228760360392
290,9.659675003477341e-07,3.885295205427404e-06,1.0,1.0,1.6387538983667538e-06,12.051393102672465
300,8.603110884156026e-07,3.4213943613967987e-06,1.0,1.0,8.499096833020905e-05,12.078614590346646
310,7.661312458065761e-07,3.205451318164318e-06,1.0,1.0,0.00036525032437528636,12.107333132006495
320,6.82172904073445e-07,2.6846378178728547e-06,1.0,1.0,4.1387590767423366e-06,12.136380695074578
330,6.134948998071993e-07,2.32990331041557e-06,1.0,1.0,1.8209826190280046e-06,12.162235033478836
340,5.519306614659798e-07,2.056453514285124e-06,1.0,1.0,1.1358516799741621e-07,12.188166323443168
350,4.97211069312737e-07,1.8531377497645395e-06,1.0,1.0,3.3169069904225726e-05,12.21365547785045
