setting,train_loss,test_loss,train_accuracy,test_accuracy,final_gradient_norm,epochs
sigmoid,1.783783344432756e-05,1.59925406531901e-05,1.0,1.0,0.00011016580054277535,350
tanh,1.3742637796637927e-06,1.5203364268460543e-06,1.0,1.0,2.1874103273209386e-05,350
relu,4.97211069312737e-07,1.8531377497645395e-06,1.0,1.0,5.584369448412205e-06,350
leaky_relu,6.188827392803736e-07,1.255623576728687e-05,1.0,1.0,7.15455119918393e-06,350
